lot_number,timestamp,test_type,measurement_value,pass_fail,operator_id,station_id
LOT341,2024-10-02 07:00:00,BATTERY_LIFE_HUMID,78.6,FAIL,OP003,QC-ST-02
LOT341,2024-10-02 07:30:00,THERMAL_CYCLING,92.1,PASS,OP003,QC-ST-04
LOT341,2024-10-02 08:00:00,BATTERY_LIFE_HUMID,113.9,FAIL,OP006,QC-ST-04
LOT341,2024-10-02 08:30:00,MOISTURE_THRESHOLD,74.0,FAIL,OP002,QC-ST-03
LOT341,2024-10-02 09:00:00,MOISTURE_THRESHOLD,67.6,FAIL,OP006,QC-ST-04
LOT341,2024-10-02 09:30:00,BATTERY_LIFE,160.1,PASS,OP005,QC-ST-02
LOT341,2024-10-03 00:00:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-02
LOT341,2024-10-03 00:30:00,BATTERY_LIFE,164.2,PASS,OP001,QC-ST-04
LOT341,2024-10-03 01:00:00,BATTERY_LIFE_HUMID,110.2,FAIL,OP001,QC-ST-01
LOT341,2024-10-03 01:30:00,THERMAL_CYCLING,34.1,FAIL,OP004,QC-ST-02
LOT341,2024-10-03 02:00:00,THERMAL_CYCLING,37.8,FAIL,OP004,QC-ST-03
LOT341,2024-10-03 02:30:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-03
LOT341,2024-10-03 03:00:00,MOISTURE_THRESHOLD,64.6,FAIL,OP006,QC-ST-03
LOT341,2024-10-03 03:30:00,MOISTURE_THRESHOLD,50.0,FAIL,OP006,QC-ST-04
LOT341,2024-10-03 04:00:00,THERMAL_CYCLING,21.9,FAIL,OP004,QC-ST-02
LOT341,2024-10-03 04:30:00,MOISTURE_THRESHOLD,57.2,FAIL,OP001,QC-ST-02
LOT341,2024-10-03 05:00:00,THERMAL_CYCLING,43.2,FAIL,OP003,QC-ST-04
LOT341,2024-10-03 05:30:00,BATTERY_LIFE,98.1,FAIL,OP004,QC-ST-03
LOT341,2024-10-03 06:00:00,BATTERY_LIFE,57.8,FAIL,OP001,QC-ST-03
LOT341,2024-10-03 06:30:00,BATTERY_LIFE,169.4,PASS,OP001,QC-ST-04
LOT341,2024-10-03 07:00:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-01
LOT341,2024-10-03 07:30:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-02
LOT341,2024-10-03 08:00:00,BATTERY_LIFE,172.8,PASS,OP004,QC-ST-03
LOT341,2024-10-03 08:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-04
LOT341,2024-10-03 09:00:00,BATTERY_LIFE,164.1,PASS,OP001,QC-ST-02
LOT341,2024-10-03 09:30:00,THERMAL_CYCLING,85.3,PASS,OP002,QC-ST-02
LOT341,2024-10-04 00:00:00,BATTERY_LIFE,162.6,PASS,OP004,QC-ST-03
LOT341,2024-10-04 00:30:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-01
LOT341,2024-10-04 01:00:00,MOISTURE_THRESHOLD,86.4,PASS,OP001,QC-ST-01
LOT341,2024-10-04 01:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-01
LOT341,2024-10-04 02:00:00,THERMAL_CYCLING,94.8,PASS,OP003,QC-ST-05
LOT341,2024-10-04 02:30:00,BATTERY_LIFE_HUMID,87.0,FAIL,OP003,QC-ST-04
LOT341,2024-10-04 03:00:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-05
LOT341,2024-10-04 03:30:00,MOISTURE_THRESHOLD,61.7,FAIL,OP003,QC-ST-05
LOT341,2024-10-04 04:00:00,MOISTURE_THRESHOLD,67.2,FAIL,OP003,QC-ST-04
LOT341,2024-10-04 04:30:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-04
LOT341,2024-10-04 05:00:00,MOISTURE_THRESHOLD,74.7,FAIL,OP006,QC-ST-04
LOT341,2024-10-04 05:30:00,MOISTURE_THRESHOLD,47.9,FAIL,OP001,QC-ST-05
LOT341,2024-10-04 06:00:00,BATTERY_LIFE_HUMID,107.5,FAIL,OP004,QC-ST-02
LOT341,2024-10-04 06:30:00,MOISTURE_THRESHOLD,48.2,FAIL,OP001,QC-ST-04
LOT341,2024-10-04 07:00:00,THERMAL_CYCLING,35.8,FAIL,OP002,QC-ST-02
LOT341,2024-10-04 07:30:00,BATTERY_LIFE,171.9,PASS,OP005,QC-ST-05
LOT341,2024-10-04 08:00:00,BATTERY_LIFE_HUMID,46.1,FAIL,OP002,QC-ST-03
LOT341,2024-10-04 08:30:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-03
LOT341,2024-10-04 09:00:00,BATTERY_LIFE,171.8,PASS,OP001,QC-ST-01
LOT341,2024-10-04 09:30:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-04
LOT341,2024-10-05 00:00:00,MOISTURE_THRESHOLD,67.5,FAIL,OP006,QC-ST-05
LOT341,2024-10-05 00:30:00,THERMAL_CYCLING,92.9,PASS,OP002,QC-ST-02
LOT341,2024-10-05 01:00:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-04
LOT341,2024-10-05 01:30:00,THERMAL_CYCLING,22.2,FAIL,OP003,QC-ST-01
LOT341,2024-10-05 02:00:00,MOISTURE_THRESHOLD,58.2,FAIL,OP004,QC-ST-03
LOT341,2024-10-05 02:30:00,BATTERY_LIFE,166.9,PASS,OP001,QC-ST-01
LOT341,2024-10-05 03:00:00,BATTERY_LIFE_HUMID,112.4,FAIL,OP001,QC-ST-05
LOT341,2024-10-05 03:30:00,BATTERY_LIFE,163.6,PASS,OP006,QC-ST-03
LOT341,2024-10-05 04:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-03
LOT341,2024-10-05 04:30:00,BATTERY_LIFE_HUMID,95.7,FAIL,OP004,QC-ST-05
LOT341,2024-10-05 05:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-04
LOT341,2024-10-05 05:30:00,BATTERY_LIFE,163.3,PASS,OP004,QC-ST-01
LOT341,2024-10-05 06:00:00,MOISTURE_THRESHOLD,58.0,FAIL,OP003,QC-ST-05
LOT341,2024-10-05 06:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-01
LOT341,2024-10-05 07:00:00,THERMAL_CYCLING,40.2,FAIL,OP003,QC-ST-05
LOT341,2024-10-05 07:30:00,BATTERY_LIFE_HUMID,52.3,FAIL,OP002,QC-ST-05
LOT341,2024-10-05 08:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-02
LOT341,2024-10-05 08:30:00,MOISTURE_THRESHOLD,72.3,FAIL,OP003,QC-ST-03
LOT341,2024-10-05 09:00:00,THERMAL_CYCLING,87.1,PASS,OP003,QC-ST-02
LOT341,2024-10-05 09:30:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-03
LOT341,2024-10-06 00:00:00,THERMAL_CYCLING,87.8,PASS,OP005,QC-ST-05
LOT341,2024-10-06 00:30:00,BATTERY_LIFE_HUMID,164.5,PASS,OP003,QC-ST-04
LOT341,2024-10-06 01:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-01
LOT341,2024-10-06 01:30:00,MOISTURE_THRESHOLD,48.1,FAIL,OP001,QC-ST-04
LOT341,2024-10-06 02:00:00,THERMAL_CYCLING,87.0,PASS,OP002,QC-ST-03
LOT341,2024-10-06 02:30:00,BATTERY_LIFE_HUMID,96.3,FAIL,OP004,QC-ST-02
LOT341,2024-10-06 03:00:00,BATTERY_LIFE_HUMID,44.6,FAIL,OP005,QC-ST-02
LOT341,2024-10-06 03:30:00,BATTERY_LIFE_HUMID,45.7,FAIL,OP002,QC-ST-05
LOT341,2024-10-06 04:00:00,BATTERY_LIFE_HUMID,71.7,FAIL,OP003,QC-ST-04
LOT341,2024-10-06 04:30:00,MOISTURE_THRESHOLD,75.0,FAIL,OP002,QC-ST-01
LOT341,2024-10-06 05:00:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-05
LOT341,2024-10-06 05:30:00,THERMAL_CYCLING,92.6,PASS,OP004,QC-ST-01
LOT341,2024-10-06 06:00:00,MOISTURE_THRESHOLD,82.8,PASS,OP004,QC-ST-01
LOT341,2024-10-06 06:30:00,BATTERY_LIFE_HUMID,45.0,FAIL,OP006,QC-ST-03
LOT341,2024-10-06 07:00:00,THERMAL_CYCLING,21.0,FAIL,OP003,QC-ST-05
LOT341,2024-10-06 07:30:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-01
LOT341,2024-10-06 08:00:00,MOISTURE_THRESHOLD,52.0,FAIL,OP002,QC-ST-02
LOT341,2024-10-06 08:30:00,BATTERY_LIFE,168.0,PASS,OP002,QC-ST-03
LOT341,2024-10-06 09:00:00,BATTERY_LIFE,167.9,PASS,OP003,QC-ST-02
LOT341,2024-10-06 09:30:00,BATTERY_LIFE,162.4,PASS,OP004,QC-ST-01
LOT341,2024-10-07 00:00:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-04
LOT341,2024-10-07 00:30:00,BATTERY_LIFE,171.4,PASS,OP001,QC-ST-05
LOT341,2024-10-07 01:00:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-03
LOT341,2024-10-07 01:30:00,MOISTURE_THRESHOLD,49.9,FAIL,OP002,QC-ST-02
LOT341,2024-10-07 02:00:00,MOISTURE_THRESHOLD,74.6,FAIL,OP005,QC-ST-01
LOT341,2024-10-07 02:30:00,THERMAL_CYCLING,85.9,PASS,OP002,QC-ST-03
LOT341,2024-10-07 03:00:00,THERMAL_CYCLING,89.7,PASS,OP006,QC-ST-05
LOT341,2024-10-07 03:30:00,MOISTURE_THRESHOLD,61.1,FAIL,OP002,QC-ST-02
LOT341,2024-10-07 04:00:00,MOISTURE_THRESHOLD,65.7,FAIL,OP001,QC-ST-05
LOT341,2024-10-07 04:30:00,BATTERY_LIFE_HUMID,163.3,PASS,OP005,QC-ST-01
LOT341,2024-10-07 05:00:00,THERMAL_CYCLING,88.9,PASS,OP005,QC-ST-05
LOT341,2024-10-07 05:30:00,MOISTURE_THRESHOLD,55.3,FAIL,OP002,QC-ST-03
LOT341,2024-10-07 06:00:00,BATTERY_LIFE_HUMID,76.1,FAIL,OP001,QC-ST-03
LOT341,2024-10-07 06:30:00,THERMAL_CYCLING,88.3,PASS,OP002,QC-ST-02
LOT341,2024-10-07 07:00:00,THERMAL_CYCLING,86.7,PASS,OP003,QC-ST-02
LOT341,2024-10-07 07:30:00,MOISTURE_THRESHOLD,45.2,FAIL,OP004,QC-ST-01
LOT341,2024-10-07 08:00:00,MOISTURE_THRESHOLD,72.3,FAIL,OP005,QC-ST-03
LOT341,2024-10-07 08:30:00,BATTERY_LIFE_HUMID,92.8,FAIL,OP003,QC-ST-01
LOT341,2024-10-07 09:00:00,MOISTURE_THRESHOLD,45.5,FAIL,OP006,QC-ST-05
LOT341,2024-10-07 09:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-03
LOT341,2024-10-08 00:00:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-01
LOT341,2024-10-08 00:30:00,MOISTURE_THRESHOLD,57.0,FAIL,OP001,QC-ST-01
LOT341,2024-10-08 01:00:00,THERMAL_CYCLING,87.4,PASS,OP001,QC-ST-01
LOT341,2024-10-08 01:30:00,THERMAL_CYCLING,44.2,FAIL,OP002,QC-ST-01
LOT341,2024-10-08 02:00:00,THERMAL_CYCLING,88.9,PASS,OP005,QC-ST-01
LOT341,2024-10-08 02:30:00,MOISTURE_THRESHOLD,72.2,FAIL,OP006,QC-ST-02
LOT341,2024-10-08 03:00:00,MOISTURE_THRESHOLD,72.4,FAIL,OP003,QC-ST-02
LOT341,2024-10-08 03:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-05
LOT341,2024-10-08 04:00:00,MOISTURE_THRESHOLD,46.6,FAIL,OP006,QC-ST-03
LOT341,2024-10-08 04:30:00,THERMAL_CYCLING,29.3,FAIL,OP001,QC-ST-04
LOT341,2024-10-08 05:00:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-02
LOT341,2024-10-08 05:30:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-05
LOT341,2024-10-08 06:00:00,BATTERY_LIFE_HUMID,111.3,FAIL,OP001,QC-ST-05
LOT341,2024-10-08 06:30:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-04
LOT341,2024-10-08 07:00:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-05
LOT341,2024-10-08 07:30:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-03
LOT341,2024-10-08 08:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-05
LOT341,2024-10-08 08:30:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-02
LOT341,2024-10-08 09:00:00,BATTERY_LIFE_HUMID,168.4,PASS,OP004,QC-ST-02
LOT341,2024-10-08 09:30:00,MOISTURE_THRESHOLD,57.2,FAIL,OP002,QC-ST-03
LOT341,2024-10-09 00:00:00,BATTERY_LIFE,166.9,PASS,OP004,QC-ST-02
LOT341,2024-10-09 00:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-05
LOT341,2024-10-09 01:00:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-03
LOT341,2024-10-09 01:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-04
LOT341,2024-10-09 02:00:00,BATTERY_LIFE,165.8,PASS,OP005,QC-ST-05
LOT341,2024-10-09 02:30:00,BATTERY_LIFE,169.8,PASS,OP002,QC-ST-05
LOT341,2024-10-09 03:00:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-01
LOT341,2024-10-09 03:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-04
LOT341,2024-10-09 04:00:00,BATTERY_LIFE,161.6,PASS,OP003,QC-ST-04
LOT341,2024-10-09 04:30:00,MOISTURE_THRESHOLD,66.9,FAIL,OP002,QC-ST-01
LOT341,2024-10-09 05:00:00,MOISTURE_THRESHOLD,87.8,PASS,OP005,QC-ST-02
LOT341,2024-10-09 05:30:00,MOISTURE_THRESHOLD,64.2,FAIL,OP001,QC-ST-03
LOT341,2024-10-09 06:00:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-05
LOT341,2024-10-09 06:30:00,MOISTURE_THRESHOLD,63.2,FAIL,OP002,QC-ST-01
LOT341,2024-10-09 07:00:00,BATTERY_LIFE_HUMID,72.3,FAIL,OP001,QC-ST-02
LOT341,2024-10-09 07:30:00,THERMAL_CYCLING,36.6,FAIL,OP003,QC-ST-01
LOT341,2024-10-09 08:00:00,WATER_RESISTANCE,IP54,FAIL,OP004,QC-ST-02
LOT341,2024-10-09 08:30:00,MOISTURE_THRESHOLD,45.3,FAIL,OP004,QC-ST-03
LOT341,2024-10-09 09:00:00,BATTERY_LIFE_HUMID,73.5,FAIL,OP006,QC-ST-04
LOT341,2024-10-09 09:30:00,WATER_RESISTANCE,IP54,FAIL,OP004,QC-ST-04
LOT341,2024-10-10 00:00:00,MOISTURE_THRESHOLD,48.2,FAIL,OP005,QC-ST-01
LOT341,2024-10-10 00:30:00,THERMAL_CYCLING,39.1,FAIL,OP006,QC-ST-01
LOT341,2024-10-10 01:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-02
LOT341,2024-10-10 01:30:00,BATTERY_LIFE,165.3,PASS,OP001,QC-ST-01
LOT341,2024-10-10 02:00:00,THERMAL_CYCLING,86.3,PASS,OP001,QC-ST-01
LOT341,2024-10-10 02:30:00,MOISTURE_THRESHOLD,73.2,FAIL,OP005,QC-ST-05
LOT341,2024-10-10 03:00:00,THERMAL_CYCLING,90.0,PASS,OP002,QC-ST-02
LOT341,2024-10-10 03:30:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-05
LOT341,2024-10-10 04:00:00,BATTERY_LIFE_HUMID,60.9,FAIL,OP004,QC-ST-04
LOT341,2024-10-10 04:30:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-05
LOT341,2024-10-10 05:00:00,BATTERY_LIFE,30.3,FAIL,OP005,QC-ST-05
LOT341,2024-10-10 05:30:00,MOISTURE_THRESHOLD,51.8,FAIL,OP005,QC-ST-04
LOT341,2024-10-10 06:00:00,BATTERY_LIFE,169.9,PASS,OP004,QC-ST-03
LOT341,2024-10-10 06:30:00,BATTERY_LIFE_HUMID,71.7,FAIL,OP005,QC-ST-04
LOT341,2024-10-10 07:00:00,BATTERY_LIFE,164.4,PASS,OP005,QC-ST-02
LOT341,2024-10-10 07:30:00,BATTERY_LIFE_HUMID,171.3,PASS,OP001,QC-ST-01
LOT341,2024-10-10 08:00:00,THERMAL_CYCLING,29.0,FAIL,OP002,QC-ST-05
LOT341,2024-10-10 08:30:00,BATTERY_LIFE_HUMID,117.9,FAIL,OP003,QC-ST-04
LOT341,2024-10-10 09:00:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-03
LOT341,2024-10-10 09:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-04
LOT341,2024-10-11 00:00:00,BATTERY_LIFE_HUMID,169.5,PASS,OP004,QC-ST-04
LOT341,2024-10-11 00:30:00,BATTERY_LIFE,167.3,PASS,OP006,QC-ST-05
LOT341,2024-10-11 01:00:00,WATER_RESISTANCE,IP67,PASS,OP006,QC-ST-05
LOT341,2024-10-11 01:30:00,BATTERY_LIFE_HUMID,117.4,FAIL,OP006,QC-ST-02
LOT341,2024-10-11 02:00:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-05
LOT341,2024-10-11 02:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-01
LOT341,2024-10-11 03:00:00,BATTERY_LIFE_HUMID,86.7,FAIL,OP004,QC-ST-04
LOT341,2024-10-11 03:30:00,BATTERY_LIFE,160.9,PASS,OP005,QC-ST-01
LOT341,2024-10-11 04:00:00,THERMAL_CYCLING,42.9,FAIL,OP005,QC-ST-03
LOT341,2024-10-11 04:30:00,THERMAL_CYCLING,28.5,FAIL,OP003,QC-ST-02
LOT341,2024-10-11 05:00:00,MOISTURE_THRESHOLD,64.2,FAIL,OP005,QC-ST-03
LOT341,2024-10-11 05:30:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-03
LOT341,2024-10-11 06:00:00,WATER_RESISTANCE,IP67,PASS,OP005,QC-ST-02
LOT341,2024-10-11 06:30:00,MOISTURE_THRESHOLD,74.5,FAIL,OP001,QC-ST-02
LOT341,2024-10-11 07:00:00,BATTERY_LIFE_HUMID,75.7,FAIL,OP003,QC-ST-05
LOT341,2024-10-11 07:30:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-05
LOT341,2024-10-11 08:00:00,MOISTURE_THRESHOLD,67.9,FAIL,OP003,QC-ST-01
LOT341,2024-10-11 08:30:00,MOISTURE_THRESHOLD,60.1,FAIL,OP001,QC-ST-01
LOT341,2024-10-11 09:00:00,THERMAL_CYCLING,92.3,PASS,OP001,QC-ST-01
LOT341,2024-10-11 09:30:00,THERMAL_CYCLING,86.8,PASS,OP003,QC-ST-05
LOT341,2024-10-12 00:00:00,WATER_RESISTANCE,IP67,PASS,OP004,QC-ST-02
LOT341,2024-10-12 00:30:00,BATTERY_LIFE_HUMID,114.0,FAIL,OP001,QC-ST-01
LOT341,2024-10-12 01:00:00,BATTERY_LIFE_HUMID,106.7,FAIL,OP004,QC-ST-02
LOT341,2024-10-12 01:30:00,BATTERY_LIFE_HUMID,40.1,FAIL,OP004,QC-ST-01
LOT341,2024-10-12 02:00:00,MOISTURE_THRESHOLD,68.2,FAIL,OP002,QC-ST-04
LOT341,2024-10-12 02:30:00,BATTERY_LIFE,171.2,PASS,OP003,QC-ST-01
LOT341,2024-10-12 03:00:00,MOISTURE_THRESHOLD,85.4,PASS,OP003,QC-ST-04
LOT341,2024-10-12 03:30:00,THERMAL_CYCLING,94.0,PASS,OP002,QC-ST-02
LOT341,2024-10-12 04:00:00,BATTERY_LIFE_HUMID,53.7,FAIL,OP005,QC-ST-03
LOT341,2024-10-12 04:30:00,MOISTURE_THRESHOLD,84.1,PASS,OP002,QC-ST-04
LOT341,2024-10-12 05:00:00,THERMAL_CYCLING,91.3,PASS,OP006,QC-ST-01
LOT341,2024-10-12 05:30:00,BATTERY_LIFE_HUMID,111.0,FAIL,OP005,QC-ST-03
LOT341,2024-10-12 06:00:00,BATTERY_LIFE,169.9,PASS,OP005,QC-ST-02
LOT341,2024-10-12 06:30:00,BATTERY_LIFE,171.5,PASS,OP002,QC-ST-04
LOT341,2024-10-12 07:00:00,THERMAL_CYCLING,92.6,PASS,OP001,QC-ST-04
LOT341,2024-10-12 07:30:00,BATTERY_LIFE,169.2,PASS,OP006,QC-ST-01
LOT341,2024-10-12 08:00:00,BATTERY_LIFE,164.3,PASS,OP005,QC-ST-01
LOT341,2024-10-12 08:30:00,BATTERY_LIFE,165.6,PASS,OP002,QC-ST-04
LOT341,2024-10-12 09:00:00,BATTERY_LIFE,170.3,PASS,OP005,QC-ST-05
LOT341,2024-10-12 09:30:00,BATTERY_LIFE,163.6,PASS,OP006,QC-ST-03
LOT341,2024-10-13 00:00:00,MOISTURE_THRESHOLD,84.9,PASS,OP004,QC-ST-05
LOT341,2024-10-13 00:30:00,WATER_RESISTANCE,IP67,PASS,OP003,QC-ST-02
LOT341,2024-10-13 01:00:00,MOISTURE_THRESHOLD,68.0,FAIL,OP001,QC-ST-02
LOT341,2024-10-13 01:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-02
LOT341,2024-10-13 02:00:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-01
LOT341,2024-10-13 02:30:00,THERMAL_CYCLING,85.3,PASS,OP004,QC-ST-03
LOT341,2024-10-13 03:00:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-01
LOT341,2024-10-13 03:30:00,BATTERY_LIFE,167.6,PASS,OP001,QC-ST-02
LOT341,2024-10-13 04:00:00,THERMAL_CYCLING,90.8,PASS,OP005,QC-ST-05
LOT341,2024-10-13 04:30:00,BATTERY_LIFE_HUMID,172.8,PASS,OP002,QC-ST-02
LOT341,2024-10-13 05:00:00,MOISTURE_THRESHOLD,63.2,FAIL,OP005,QC-ST-05
LOT341,2024-10-13 05:30:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-03
LOT341,2024-10-13 06:00:00,BATTERY_LIFE_HUMID,44.2,FAIL,OP005,QC-ST-01
LOT341,2024-10-13 06:30:00,BATTERY_LIFE_HUMID,100.0,FAIL,OP006,QC-ST-04
LOT341,2024-10-13 07:00:00,BATTERY_LIFE_HUMID,160.6,PASS,OP005,QC-ST-01
LOT341,2024-10-13 07:30:00,BATTERY_LIFE,166.9,PASS,OP003,QC-ST-02
LOT341,2024-10-13 08:00:00,THERMAL_CYCLING,88.2,PASS,OP005,QC-ST-01
LOT341,2024-10-13 08:30:00,THERMAL_CYCLING,86.1,PASS,OP005,QC-ST-05
LOT341,2024-10-13 09:00:00,MOISTURE_THRESHOLD,48.7,FAIL,OP003,QC-ST-01
LOT341,2024-10-13 09:30:00,BATTERY_LIFE_HUMID,91.1,FAIL,OP005,QC-ST-01
LOT341,2024-10-14 00:00:00,THERMAL_CYCLING,92.0,PASS,OP003,QC-ST-04
LOT341,2024-10-14 00:30:00,WATER_RESISTANCE,IP67,PASS,OP002,QC-ST-03
LOT341,2024-10-14 01:00:00,THERMAL_CYCLING,16.4,FAIL,OP002,QC-ST-05
LOT341,2024-10-14 01:30:00,WATER_RESISTANCE,IP67,PASS,OP001,QC-ST-05
LOT341,2024-10-14 02:00:00,BATTERY_LIFE,163.6,PASS,OP005,QC-ST-02
LOT341,2024-10-14 02:30:00,BATTERY_LIFE_HUMID,113.2,FAIL,OP001,QC-ST-02
LOT341,2024-10-14 03:00:00,MOISTURE_THRESHOLD,45.4,FAIL,OP003,QC-ST-05
LOT341,2024-10-14 03:30:00,MOISTURE_THRESHOLD,63.0,FAIL,OP004,QC-ST-03
LOT341,2024-10-14 04:00:00,BATTERY_LIFE,168.9,PASS,OP003,QC-ST-05
